Instances,algo_fixed_angles_constant,algo_fourier,algo_interp,algo_qibpi,algo_random,algo_three_regular,algo_tqa,feature_algebraic_connectivity,feature_average_distance,feature_bipartite,feature_clique_number,feature_density,feature_diameter,feature_edge_connectivity,feature_entropy,feature_eulerian,feature_group_size,feature_is_distance_regular,feature_laplacian_largest_eigenvalue,feature_laplacian_second_largest_eigenvalue,feature_maximum_degree,feature_maximum_weighted_degree,feature_minimum_degree,feature_minimum_dominating_set,feature_minimum_weighted_degree,feature_number_of_cut_vertices,feature_number_of_edges,feature_number_of_minimal_odd_cycles,feature_number_of_orbits,feature_planar,feature_radius,feature_ratio_of_two_largest_laplacian_eigenvaleus,feature_regular,feature_smallest_eigenvalue,feature_vertex_connectivity,feature_weighted_average_clustering,feature_weighted_average_shortest_path_length,feature_weighted_diameter,feature_weighted_radius
792281e6aa1f4b77a91a9432687dd7d5,17.0,559.0,56.0,11.0,54.0,21.0,22.0,2.999999999999999,1.4545454545454546,1,2,0.5454545454545454,2,6,2.4849066497880004,1,1036800.0,1,12.000000000000012,5.999999999999998,6,3.0,6,6,3.0,0,36,0,1,0,2,2.0000000000000027,1,9.008827046283454e-16,6,0.0,0.7272727272727273,1.0,1.0
69a5d72427b14cb5804e69cd4c6b92f1,54.0,100000.0,536.0,15.0,180.0,16.0,28.0,0.5831528529795107,1.7424242424242424,0,4,0.3636363636363636,3,2,0.0,0,1.0,0,8.366503144592464,1.166305705959022,7,3.5,2,4,1.0,0,24,9,12,0,2,7.173507856341071,0,0.0,2,0.4361111111111111,0.8712121212121212,1.5,1.0
a8267b91bd7c40969062fc3d3e0b309d,100000.0,100000.0,1204.0,34.0,100000.0,34.0,62.0,0.2400128418133174,2.1666666666666665,0,3,0.2727272727272727,4,2,0.3465735902799726,0,4.0,0,5.39819136075069,0.4800256836266356,3,1.5,3,5,1.5,0,18,6,9,0,3,11.245630275377948,1,-1.2224620552331685e-15,2,0.25,1.0833333333333333,2.0,1.5
3dbc1cfe06a242a2b8d252e5eec43f99,100000.0,100000.0,976.0,16.0,100000.0,32.0,63.0,0.0484263920563611,3.5,1,2,0.1666666666666666,8,1,0.1155245300933242,0,2.0,0,4.8532049061178535,0.096852784112723,3,1.5,1,7,0.5,7,11,0,11,1,4,50.1090903124623,0,8.634609908138995e-17,1,0.0,1.75,4.0,2.0
b041ce90ebc644d5a3cfd4fcf13cd8a9,100000.0,100000.0,660.0,26.0,100000.0,25.0,43.0,0.4172380226352968,1.6666666666666667,0,4,0.4393939393939394,3,1,0.0,0,1.0,0,9.358837248794584,0.8344760452705916,8,4.0,1,4,0.5,1,29,14,12,0,2,11.215225771711442,0,-1.5543122344752194e-15,1,0.4494047619047618,0.8333333333333334,1.5,1.0
0b0ba15b17f54beabcba5da4c52115a7,100000.0,100000.0,610.0,100000.0,100000.0,19.0,41.0,2.2557252577811044,1.2424242424242424,0,8,0.7575757575757576,2,5,0.5776226504666211,0,32.0,0,12.000000000000014,4.511450515562217,11,5.5,5,3,2.5,0,50,39,7,0,1,2.6598983982216136,0,-1.7763568394002505e-15,5,0.8681818181818182,0.6212121212121212,1.0,0.5
b4a0717edaa541d4a61c0179207eac6b,36.0,1054.0,225.0,10.0,40.0,9.0,25.0,0.7633818541245772,1.7424242424242424,0,3,0.3636363636363636,3,4,0.0,1,1.0,0,6.794258322173427,1.5267637082491492,4,2.0,4,4,2.0,0,24,9,12,0,2,4.450104679240049,1,4.440892098500626e-16,4,0.2916666666666667,0.8712121212121212,1.5,1.0
f79a419dddab46a0bac59aedd972af67,15.0,17.0,21.0,26.0,24.0,20.0,9.0,5.999999999999998,1.0,0,12,1.0,1,11,2.4849066497880004,0,479001600.0,1,12.000000000000009,11.999999999999996,11,5.5,11,1,5.5,0,66,55,1,0,1,1.000000000000001,1,1.7763568394002505e-15,11,1.0,0.5,0.5,0.5
8deb9e687b0b4dbdbf277788cd6ca269,100000.0,2164.0,401.0,13.0,71.0,15.0,31.0,0.4810843929065348,1.818181818181818,0,3,0.3636363636363636,3,4,0.4620981203732968,1,8.0,0,7.024042586333705,0.9621687858130726,4,2.0,4,5,2.0,0,24,8,8,0,2,7.300218724512141,1,3.3306690738754696e-16,3,0.3333333333333333,0.9090909090909092,1.5,1.0
ab596fc14cef4ee59c113b2da0c210e6,100000.0,100000.0,934.0,28.0,100000.0,129.0,54.0,0.0520215318127957,3.257575757575758,1,2,0.1666666666666666,7,1,0.4620981203732968,0,24.0,0,6.14786025239003,0.1040430636255909,5,2.5,1,5,0.5,6,11,0,9,1,4,59.089573472323934,0,6.454685365389528e-16,1,0.0,1.628787878787879,3.5,2.0
